time,open,high,low,close
1752154200,624.2,624.41,623.51,623.85
1752155100,623.855,624.065,623.12,623.4
1752156000,623.42,623.79,623.01,623.72
1752156900,623.74,624.269,623.31,623.735
1752157800,623.77,624.86,623.75,624.82
1752158700,624.83,625.1,624.59,624.88
1752159600,624.85,625.32,624.83,625.08
1752160500,625.1,625.58,624.98,625.51
1752161400,625.51,625.76,625.37,625.74
1752162300,625.74,625.79,625.54,625.7
1752163200,625.69,625.77,625.12,625.21
1752164100,625.22,625.62,625.03,625.57
1752165000,625.57,625.78,625.24,625.689
1752165900,625.69,625.71,625.45,625.54
1752166800,625.53,626.1,625.53,625.92
1752167700,625.93,626.23,625.79,626.1
1752168600,626.09,626.44,626.09,626.37
1752169500,626.39,626.77,626.19,626.57
1752170400,626.58,626.77,626.459,626.615
1752171300,626.61,626.88,626.57,626.59
1752172200,626.59,626.67,626.32,626.34
1752173100,626.34,626.46,626.095,626.27
1752174000,626.26,626.525,626.18,626.43
1752174900,626.44,626.56,626.12,626.2
1752175800,626.2,626.67,626.17,626.5
1752176700,626.5,626.505,625.21,625.88
1752240600,622.74,623.51,621.68,621.83
1752241500,621.81,623.319,621.53,623.23
1752242400,623.23,623.65,622.99,623.6
1752243300,623.57,624.26,623.4,624.005
1752244200,624.01,624.38,623.7,623.97
1752245100,623.97,623.97,623.25,623.87
1752246000,623.85,623.89,622.83,622.83
1752246900,622.83,623.8,622.72,623.4
1752247800,623.4,624.63,623.35,624.4
1752248700,624.42,624.46,623.47,623.78
1752249600,623.81,624.08,623.15,623.46
1752250500,623.47,624,623.43,623.94
1752251400,623.95,624.09,623.59,623.62
1752252300,623.6,624.43,623.56,624.34
1752253200,624.35,624.58,624.12,624.41
1752254100,624.39,624.58,624.229,624.45
1752255000,624.45,624.58,623.77,623.95
1752255900,623.95,624.555,623.92,624.5
1752256800,624.46,624.69,624.215,624.44
1752257700,624.439,624.51,623.89,624.27
1752258600,624.27,624.82,624.179,624.82
1752259500,624.82,624.855,624.22,624.36
1752260400,624.33,624.35,623.13,624.13
1752261300,624.13,624.72,624.04,624.45
1752262200,624.45,624.58,624.13,624.215
1752263100,624.21,624.47,623.47,623.61
1752499800,623.17,623.35,621.79,621.96
1752500700,621.93,623.46,621.8,622.67
1752501600,622.67,623.03,622.26,622.94
1752502500,622.93,623.71,622.58,622.69
1752503400,622.68,623.1,622.37,622.98
1752504300,622.96,623.52,622.66,623.48
1752505200,623.47,623.8,623.28,623.66
1752506100,623.65,624.14,623.41,624.13
1752507000,624.14,624.39,623.84,624.161
1752507900,624.17,624.18,623.77,623.949
1752508800,623.94,624.32,623.8,624.049
1752509700,624.04,624.12,623.81,623.88
1752510600,623.88,624.15,623.62,623.96
1752511500,623.96,624.48,623.94,624.28
1752512400,624.28,624.71,624.28,624.71
1752513300,624.7,624.96,624.6,624.71
1752514200,624.71,624.99,624.63,624.7
1752515100,624.71,624.9,624.42,624.68
1752516000,624.68,624.92,624.595,624.76
1752516900,624.79,625,624.675,624.96
1752517800,624.96,625.159,624.92,625.05
1752518700,625.06,625.105,624.91,624.94
1752519600,624.94,625.12,624.75,624.91
1752520500,624.91,624.94,624.54,624.729
1752521400,624.73,624.73,624.435,624.44
1752522300,624.43,624.99,624.3,624.7
1752586200,627.5,627.87,625.89,626.335
1752587100,626.36,626.65,625.57,625.65
1752588000,625.67,626.25,625.27,626.21
1752588900,626.21,626.4,625.38,625.48
1752589800,625.49,625.59,624.7,624.92
1752590700,624.89,625.39,623.8,623.89
1752591600,623.88,624.87,623.88,624.23
1752592500,624.25,625.2,624.165,625.12
1752593400,625.12,625.21,624.53,625.04
1752594300,625.03,625.39,624.52,624.841
1752595200,624.85,624.99,624.01,624.33
1752596100,624.31,624.68,624.14,624.271
1752597000,624.27,624.58,623.81,624.16
1752597900,624.17,624.4,623,623.21
1752598800,623.22,623.72,623.16,623.39
1752599700,623.39,623.89,622.95,623.86
1752600600,623.85,624.39,623.85,624.09
1752601500,624.1,624.62,623.91,624.585
1752602400,624.59,624.82,624.295,624.74
1752603300,624.74,624.87,624.54,624.6
1752604200,624.6,624.83,624.31,624.35
1752605100,624.35,624.55,623.26,623.28
1752606000,623.27,623.77,623.02,623.53
1752606900,623.52,623.77,623.16,623.3
1752607800,623.31,623.78,623.19,623.66
1752608700,623.65,623.78,622.07,622.11
1752672600,623.76,624.12,623.01,623.15
1752673500,623.16,623.24,622.03,622.11
1752674400,622.11,622.77,621.68,622.23
1752675300,622.2,622.86,622.06,622.5
1752676200,622.49,623.01,622,622.455
1752677100,622.45,623.37,621.51,622.165
1752678000,622.22,623.36,622.05,623.32
1752678900,623.32,623.34,619.46,621.33
1752679800,621.35,621.41,618.05,620.41
1752680700,620.42,622.53,619.96,621.96
1752681600,621.93,622.24,621.24,621.57
1752682500,621.57,621.92,621.04,621.67
1752683400,621.71,622.33,621.6,622.02
1752684300,622.03,623.13,621.14,623.1
1752685200,623.1,623.78,622.91,623.56
1752686100,623.57,623.64,623.06,623.09
1752687000,623.1,623.36,622.93,623.13
1752687900,623.13,623.38,622.94,623.09
1752688800,623.09,623.46,622.93,623.17
1752689700,623.2,623.44,622.72,623.35
1752690600,623.35,623.94,623.35,623.84
1752691500,623.83,624.36,623.6,624.34
1752692400,624.34,624.52,623.96,624.07
1752693300,624.06,624.21,623.83,624.155
1752694200,624.14,624.73,623.88,624.56
1752695100,624.55,624.7,624.07,624.19
1752759000,624.4,625.64,624.18,625.58
1752759900,625.58,626.2,625.43,625.78
1752760800,625.8,626.229,625.74,626.17
1752761700,626.15,626.23,624.84,625.46
1752762600,625.46,625.81,625.01,625.43
1752763500,625.44,625.92,625.3,625.815
1752764400,625.81,626.59,625.79,626.32
1752765300,626.34,626.72,626.19,626.67
1752766200,626.67,627.18,626.56,627.031
1752767100,627.05,627.27,626.85,627.215
1752768000,627.22,627.5,627.11,627.21
1752768900,627.22,627.22,626.78,626.83
1752769800,626.84,626.925,626.52,626.79
1752770700,626.79,626.87,626.62,626.83
1752771600,626.83,626.98,626.67,626.88
1752772500,626.87,627.1,626.67,627.02
1752773400,627.03,627.38,626.98,627.32
1752774300,627.33,627.45,627.19,627.435
1752775200,627.44,627.5,627.14,627.18
1752776100,627.16,627.88,627.14,627.83
1752777000,627.84,627.91,627.65,627.83
1752777900,627.83,628.14,627.765,627.96
1752778800,627.97,628.41,627.95,628.25
1752779700,628.25,628.321,627.94,627.98
1752780600,627.97,628.27,627.85,627.9
1752781500,627.9,628.32,627.655,627.99
1752845400,629.29,629.32,628.54,628.6
1752846300,628.59,629.19,628.43,628.64
1752847200,628.65,629.38,627.985,628.06
1752848100,628.06,628.21,627.24,627.37
1752849000,627.39,627.91,627.18,627.47
1752849900,627.46,627.69,627.12,627.13
1752850800,627.12,627.67,626.91,627.33
1752851700,627.31,627.69,627.14,627.57
1752852600,627.62,628,627.571,627.78
1752853500,627.8,628.17,627.67,628.11
1752854400,628.12,628.16,627.469,627.7
1752855300,627.7,627.78,626.54,626.969
1752856200,626.98,627.23,626.49,627.14
1752857100,627.17,627.39,626.51,626.68
1752858000,626.67,627.18,626.46,627.171
1752858900,627.19,627.21,626.7,626.94
1752859800,626.94,627.52,626.94,627.2
1752860700,627.2,627.24,626.8,627.07
1752861600,627.08,627.4,626.87,626.94
1752862500,626.93,627.35,626.67,627.12
1752863400,627.09,627.39,627.05,627.285
1752864300,627.29,627.41,627.065,627.211
1752865200,627.215,627.37,627.03,627.15
1752866100,627.14,627.6,627.14,627.39
1752867000,627.39,627.44,627.035,627.13
1752867900,627.13,627.76,627.01,627.59
1753104600,628.77,629.52,628.68,629.451
1753105500,629.46,630.7,629.45,630.57
1753106400,630.58,631.03,630.38,630.63
1753107300,630.63,631.33,630.44,631.25
1753108200,631.25,631.38,630.78,631.02
1753109100,631.01,631.06,630.64,631.02
1753110000,631.02,631.22,630.89,631.15
1753110900,631.15,631.35,630.95,631.26
1753111800,631.27,631.54,631.25,631.35
1753112700,631.34,631.47,631.09,631.171
1753113600,631.17,631.17,630.695,630.89
1753114500,630.885,631.07,630.53,630.77
1753115400,630.76,631.12,630.73,630.96
1753116300,630.945,631.32,630.89,631.24
1753117200,631.25,631.49,631.225,631.37
1753118100,631.37,631.47,631.26,631.39
1753119000,631.39,631.52,631.18,631.21
1753119900,631.21,631.33,631.11,631.169
1753120800,631.16,631.2,631.04,631.13
1753121700,631.12,631.27,631.099,631.19
1753122600,631.2,631.2,630.78,630.89
1753123500,630.88,630.88,630.32,630.36
1753124400,630.37,630.4,629.11,629.58
1753125300,629.58,629.82,629.34,629.44
1753126200,629.45,629.68,628.78,628.86
1753127100,628.85,629.15,628.345,628.73
1753191000,629.1,629.18,628.23,628.97
1753191900,628.98,628.98,626.19,626.88
1753192800,626.88,627.26,626.24,627.13
1753193700,627.13,627.42,626.8,627.09
1753194600,627.08,628.04,626.98,627.72
1753195500,627.69,628.02,627.22,627.955
1753196400,627.955,628.12,627.58,627.65
1753197300,627.64,627.96,627.33,627.63
1753198200,627.64,628.02,627.43,627.58
1753199100,627.57,628.06,627.55,627.66
1753200000,627.67,627.93,627.47,627.7
1753200900,627.71,628.13,627.04,627.25
1753201800,627.25,627.65,627.07,627.46
1753202700,627.47,627.98,627.28,627.85
1753203600,627.865,628.05,627.78,627.99
1753204500,628,629.22,628,629.04
1753205400,629.05,629.18,628.34,628.63
1753206300,628.61,628.69,628.3,628.351
1753207200,628.34,628.77,628.34,628.48
1753208100,628.49,628.59,627.53,628.425
1753209000,628.42,629.34,628.37,629.13
1753209900,629.11,629.52,628.98,629.35
1753210800,629.34,629.46,629.04,629.05
1753211700,629.05,629.34,628.97,629.2
1753212600,629.2,629.6,629.06,629.335
1753213500,629.33,629.73,628.75,628.85